Country,Date,search_interest,raw_incidence_rate
Aruba,09/08,0,18.42
Anguilla,09/08,0,141.18
Antigua and Barbuda,09/08,0,24.47
Saint Barthelemy,09/08,0,7288.89
Belize,09/08,0,1.36
Bermuda,09/08,0,0
Bolivia,09/08,0,1.16
Barbados,09/08,0,194.16
Cuba,09/08,0,0.03
Cayman Islands,09/08,0,8.77
Dominica,09/08,0,1421.62
Grenada,09/08,0,343.24
French Guiana,09/08,0,3640.58
Guyana,09/08,0,0.78
Haiti,09/08,0,27.29
Saint Kitts and Nevis,09/08,0,0
Saint Lucia,09/08,0,504.88
Saint Martin,09/08,0,6347.22
Montserrat,09/08,0,0
Martinique,09/08,0,8987.88
Panama,09/08,0,45.16
Paraguay,09/08,0,7.99
El Salvador,09/08,0,181.4
Suriname,09/08,0,626.28
Turks and Caicos Islands,09/08,0,3.92
Uruguay,09/08,0,0
Saint Vincent and the Grenadines,09/08,0,190.2
The Bahamas,09/08,100,2.04
Curacao,09/08,0,139.6
British Virgin Islands,09/08,0,14.71
U.S. Virgin Islands,09/08,0,738.83
Trinidad and Tobago,9/15,86,27.47
Puerto Rico,9/15,68,485.49
Guadeloupe,9/15,0,6335.24
Jamaica,9/15,55,179.41
Nicaragua,9/15,24,30
Honduras,9/15,22,380.13
Guatemala,9/15,23,17.86
United States,9/15,18,0.01
Costa Rica,9/15,19,54.91
Canada,9/15,13,0
Dominican Republic,9/15,15,51.21
Mexico,9/15,21,2.16
Venezuela,9/15,6,187.78
Brazil,9/15,5,131.41
Colombia,9/15,3,211.57
Ecuador,9/15,3,17.77
Peru,9/15,2,0.31
Chile,9/15,3,0
Argentina,9/15,2,4.11
Aruba,9/15,0,22.81
Anguilla,9/15,0,158.82
Antigua and Barbuda,9/15,0,24.47
Saint Barthelemy,9/15,0,7677.78
Belize,9/15,0,1.36
Bermuda,9/15,0,0
Bolivia,9/15,0,1.16
Barbados,9/15,0,196.91
Cuba,9/15,0,0.03
Cayman Islands,9/15,0,15.79
Dominica,9/15,0,1558.11
Grenada,9/15,0,352.25
French Guiana,9/15,0,3664.13
Guyana,9/15,0,0.78
Haiti,9/15,0,27.29
Saint Kitts and Nevis,9/15,0,0
Saint Lucia,9/15,0,504.88
Saint Martin,9/15,0,6569.44
Montserrat,9/15,0,0
Martinique,9/15,0,9042.17
Panama,9/15,0,46.87
Paraguay,9/15,0,7.99
El Salvador,9/15,0,181.97
Suriname,9/15,0,628.47
Turks and Caicos Islands,9/15,0,3.92
Uruguay,9/15,0,0
Saint Vincent and the Grenadines,9/15,0,190.2
The Bahamas,9/15,100,2.54
Curacao,9/15,0,216.11
British Virgin Islands,9/15,0,14.71
U.S. Virgin Islands,9/15,0,854.37
